Titre;Description;MotsClés;NomDuLieu;CodePostal;Ville;Région;Département;TypeEvénement;AgeMinimum;AgeMaximum;ConditionsDeParticipation
La calebasse des enfants;Contes par Innocent Yapi;contes calebasse;Bibliothèque de Fraimbois;54300;Fraimbois;Grand Est;Meurthe-et-Moselle;Lecture / Conte;6;10;Sur inscription
"Contes en ""N'ombres""";Venez découvrir des contes du monde mis en scène en théâtre d'ombres!;"contes;théâtre d'ombres";Salle polyvalente de Sommery;76440;Sommery;Normandie;Seine-Maritime;Lecture / Conte;;;Entrée libre
"Escape game ""Panique dans la bibliothèque""";Saurez-vous trouver la solution avant la fin du chrono ?;"escape game;sciences;enquête";Médiathèque;85270;Saint-Hilaire-de-Riez;Pays de la Loire;Vendée;Soirée jeux (jeux de société, jeux vidéo, jeux d’évasion/escape game);12;99;Sur inscription
Rencontre avec Nicole Cordier;Rencontre avec Nicole Cordier, auteure delloise;;Médiathèque de Delle;90100;Delle;Bourgogne-Franche-Comté;Territoire de Belfort;Rencontre d'auteur(s) et dédicace;;;Entrée libre
Escape game;Escape game dans la médiathèque;;Médiathèque de Delle;90100;Delle;Bourgogne-Franche-Comté;Territoire de Belfort;Soirée jeux (jeux de société, jeux vidéo, jeux d’évasion/escape game);;;Sur inscription
Rencontre et dédicaces avec Louison Nielman;"Un temps d'échange et de dédicaces avec Louison Nielman, autrice de la collection ""Petit Zen"" chez Fleurus.";"rencontre auteur jeunesse;dédicace";Médiathèque La Page;27500;Pont-Audemer;Normandie;Eure;Rencontre d'auteur(s) et dédicace;;;Entrée libre
Le chevalier perdu;Un escape-game à faire en famille dans la médiathèque;"escape-game;héros;enquête;famille";Médiathèque Charles-Gautier-Hermeland;44800;Saint-Herblain;Pays de la Loire;Loire-Atlantique;Soirée jeux (jeux de société, jeux vidéo, jeux d’évasion/escape game);10;99;Sur inscription
Bookface (« tête de livre »);Amusez-vous à vous mettre en scène avec des couvertures de livres devant le photographe invité pour l’occasion.;"bookface;sleeveface;photographe;livre;photographie;séance photo";Médiathèque Diderot;44400;Rezé;Pays de la Loire;Loire-Atlantique;Atelier;;;Entrée libre
Projections de courts-métrages;Projections de courts-métrages sur le thème de la danse et du mouvement.;;Médiathèque Grand M;31100;Toulouse;Occitanie;Haute-Garonne;Projection;;;Entrée libre
Performance dansée;Par la compagnie des Danseurs disparus;;Médiathèque Grand M;31100;Toulouse;Occitanie;Haute-Garonne;Spectacle (danse, concert, performance, théâtre…);;;Entrée libre
Même pas peur !;Pour la nuit de la lecture, le samedi 18 janvier 2020, la bibliothèque Les Jacobins invite le public à une soirée ludique et festive placée sous le signe de LA PEUR !;"théâtre;déambulation;spectacle;humour";Bibliothèque les Jacobins;45400;Fleury-les-Aubrais;Centre-Val de Loire;Loiret;Spectacle (danse, concert, performance, théâtre…);;;Entrée libre
Ateliers d'écriture;Ateliers d'écriture sur le thème du Voyage dans le temps;;Bibliothèque d'Étude et du Patrimoine;31000;Toulouse;Occitanie;Haute-Garonne;Atelier;;;Entrée libre
La princesse éblouissante;La compagnie de l’Épinette vous propose de redécouvrir le destin fabuleux et plus conforme aux coutumes de ces époques anciennes, de cette princesse aussi étonnante que méconnue.;;Bibliothèque d'Étude et du Patrimoine;31000;Toulouse;Occitanie;Haute-Garonne;Lecture / Conte;7;12;Entrée libre
Concert du Toulouse Hot Club;Ça va bouger !;;Bibliothèque d'Étude et du Patrimoine;31000;Toulouse;Occitanie;Haute-Garonne;Spectacle (danse, concert, performance, théâtre…);;;Entrée libre
Ouverture exceptionnelle;Ouverture execptionnelle jusqu'à 22h30;horaires nuit de la lecture Médiathèque de Venansault;Médiathèque de Venansault;85190;Venansault;Pays de la Loire;Vendée;Autre (précisez dans le champ ci-dessous);;;Entrée libre
Heure du conte spéciale Nuit - De 3 à 6 ans;À l’occasion de la Nuit de la lecture, des histoires sur le thème de la nuit pour les enfants et les adolescents ! Saurez-vous affronter vos peurs ?;"lecture;conte";Espace culturel La Gare;62680;Méricourt;Hauts-de-France;Pas-de-Calais;Lecture / Conte;3;6;Entrée libre
Bar à soupe partagé;Partageons ensemble une soupe;"soupe;repas;buffet";Médiathèque départementale Drôme des Collines;26240;Saint-Vallier;Auvergne-Rhône-Alpes;Drôme;Dégustation, buffet, collation…;;;Entrée libre
Lecture spéciale Nuit - De 12 à 20 ans;À l’occasion de la Nuit de la lecture, des histoires sur le thème de la nuit pour les enfants et les adolescents ! Saurez-vous affronter vos peurs ?;lecture;Espace culturel La Gare;62680;Méricourt;Hauts-de-France;Pas-de-Calais;Lecture / Conte;12;20;Entrée libre
Soirée spectacle;Le VéToLiBRaiRe sait soigner ces animaux fantastiques que sont les livres...;Spectacle - Bibliothèques - Livres;Bibliothèque municipale de Villeneuve-sur-Lot;47300;Villeneuve-sur-Lot;Nouvelle-Aquitaine;Lot-et-Garonne;Spectacle (danse, concert, performance, théâtre…);;;Entrée libre
Soupe et Lire - Lecture d’albums;Lecture d’albums pour enfant 3-6 ans et 6-10 ans  et dégustation de soupes et fruits;"Lecture albums enfant;degustation soupe;tombola gratuite";Bibliothèque municipale Saint Léger des bois;49170;Saint-Léger-de-Linières;Pays de la Loire;Maine-et-Loire;Lecture / Conte;3;10;Entrée libre
Soupe et lire - 7 minutes de lectures;7 minutes de lectures pour chacun des extraits d’une nouveauté ou d’un livre-coup de cœur;"Lecture;nouveautes-;coups de coeur";Bibliothèque municipale Saint Léger des bois;49170;Saint-Léger-de-Linières;Pays de la Loire;Maine-et-Loire;Lecture / Conte;;99;Entrée libre
Soupe et lire;Dégustation de soupes;;Bibliothèque municipale Saint Léger des bois;49170;Saint-Léger-de-Linières;Pays de la Loire;Maine-et-Loire;Dégustation, buffet, collation…;;99;Entrée libre
Lectures dans le noir;Venez en famille lire et écouter des lectures dans le noir, à partir de contes lus sur CD. Pour les 2-4 ans, 3 ans et plus, 5 ans et plus, 8 ans et plus. Accessible aux enfants aveugles et malvoyants.;"Lecture dans le noir;Famille;Livres-Cd;Contes;Jeunesse;Lectures;Livres lus";Bibliothèque Mériadeck;33000;Bordeaux;Nouvelle-Aquitaine;Gironde;Lecture / Conte;2;12;Sur inscription
Carte blanche aux lecteurs;Lecture tout public;"lecture à voix haute;littérature;participatif";Médiathèque départementale Drôme des Collines;26240;Saint-Vallier;Auvergne-Rhône-Alpes;Drôme;Lecture / Conte;;;Entrée libre
Gérard Morel et la guitare qui l'accompagne;Concert tout public;"chanson française;guitare;chant;accordéon;concert;musique";Médiathèque départementale Drôme des Collines;26240;Saint-Vallier;Auvergne-Rhône-Alpes;Drôme;Spectacle (danse, concert, performance, théâtre…);;;Entrée libre
Années folles;Venez déguisés !;;Médiathèque intercommunale de Nuits-Saint-Georges;21700;Nuits-Saint-Georges;Bourgogne-Franche-Comté;Côte-d'Or;Autre (précisez dans le champ ci-dessous);;99;Entrée libre
Lectures électroniques, par le Détachement international du Muerto Coco;Poésie sonore;;Médiathèque Confluence;34700;Lodève;Occitanie;Hérault;Lecture / Conte;10;99;Entrée libre
Contes partagés;Lectures de quelques contes sélectionnés par nos soins.;;Médiathèque Jean d'Ormesson;44119;Treillières;Pays de la Loire;Loire-Atlantique;Lecture / Conte;;;Entrée libre
Une soirée pour s’évader en famille;Glissez-vous derrière les tentures pour écouter des histoires;"contes;histoires";Médiathèque de Charbonnières-les-Bains;69260;Charbonnières-les-Bains;Auvergne-Rhône-Alpes;Rhône;Lecture / Conte;;99;Sur inscription
Exposition sur Boris Vian;Exposition;;Ecole élémentaire Titon;75011;Paris;Île-de-France;;Exposition;;99;Entrée libre
« Jouons avec les héros de nos albums préférés »;Venez découvrir la sélection de nos ludothécaires : Cornebidouille, Croque bisous, les 3 Brigands, Baba Yaga, Loulou le loup, tout le monde sera là !;Jeu de société;Centre Culturel Multimédia Bernay;27300;Bernay;Normandie;Eure;Soirée jeux (jeux de société, jeux vidéo, jeux d’évasion/escape game);3;99;Entrée libre
Atelier de calligraphie;Initiez-vous à la calligraphie;calligraphie;Médiathèque Antoine Chanut;60100;Creil;Hauts-de-France;Oise;Atelier;;;Entrée libre
Soirée jeux famille;Venez jouer en famille à la bibliothèque;"jeux;familles;jeu;famille";Bibliothèque Teisseire-Malherbe;38100;Grenoble;Auvergne-Rhône-Alpes;Isère;Soirée jeux (jeux de société, jeux vidéo, jeux d’évasion/escape game);;;Entrée libre
"Lecture musicale ""Etre beau""";Frédérique Deghelt accompagnée de Steve Shehan nous invitent à un corps à corps, une découverte de notre condition humaine au rythme d’une lecture musicale et visuelle.;"beau;Frédérique Deghelt;Steve Shehan";Médiathèque de Cronenbourg;67200;Strasbourg;Grand Est;Bas-Rhin;Lecture / Conte;;;Entrée libre
"Spectacle ""Charablabla""";Spectacle par la Compagnie Houppz Théâtre;;Médiathèque de la Meinau;67100;Strasbourg;Grand Est;Bas-Rhin;Spectacle (danse, concert, performance, théâtre…);4;99;Sur inscription
Quizz sur le cinéma et la musique;Venez participer à un Quizz sur les films et les musiques qui évoquent la gourmandise.;"Quizz;cinéma;musique;gourmandise";Médiathèque du Val d'Argent;68160;Sainte-Croix-aux-Mines;Grand Est;Haut-Rhin;Soirée jeux (jeux de société, jeux vidéo, jeux d’évasion/escape game);;;Entrée libre
Jeux en partage (avec Lionel Scheibel);Vous avez entre 5 et 105 ans et vous aimez jouer aux jeux de société ?   Seul, en famille ou entre amis, venez découvrir les jeux de plateau à la médiathèque et partager un moment de convivialité.;;Médiathèque de Cernay;68700;Cernay;Grand Est;Haut-Rhin;Soirée jeux (jeux de société, jeux vidéo, jeux d’évasion/escape game);5;105;Entrée libre
Atelier tablette;Vivre une expérience sensorielle inédite et innovante vous tente ?  Alors venez découvrir le premier jeu d'action-aventure sans image, où l'ouïe remplace la vue !;;Médiathèque de Cernay;68700;Cernay;Grand Est;Haut-Rhin;Soirée jeux (jeux de société, jeux vidéo, jeux d’évasion/escape game);12;92;Sur inscription
