Titre;Description;MotsClés;NomDuLieu;CodePostal;Ville;Région;Département;TypeEvénement;AgeMinimum;AgeMaximum;ConditionsDeParticipation
Atelier bricolage : créations à partir de livres recyclés;Laissez libre court à votre imagination avec des créations à partir de livres recyclés;;Médiathèque Jean Grosjean;25110;Baume-les-Dames;Bourgogne-Franche-Comté;Doubs;Atelier;15;99;Sur inscription
Après-midi table ronde;Rencontre avec Des’lices d’Opéra;"association;représentation de l'Opéra";Bibliothèque Universitaire de lettres et SHS Nancy;54000;Nancy;Grand Est;Meurthe-et-Moselle;Conférence / table-ronde;;99;Entrée libre
Sous les étoiles au village de Saint-Jeannet;Lecture de textes, partage coup de coeur romans, intermèdes musicaux;"St Jeannet 04270;nuit de la lecture 2020";Église Notre-Dame de l'Espérance;4270;Saint-Jeannet;Provence-Alpes-Côte d'Azur;Alpes-de-Haute-Provence;Autre (précisez dans le champ ci-dessous);7;99;Entrée libre
Rencontre avec un auteur;"Hélène du Gouezou  viendra présenter son ouvrage intitulé ""Petit Cabinet de Curiosités Bretonnes"". Portraits singuliers, contes et gourmandises à découvrir...Un délicieux moment de partage !";Bretagne-Recettes-Contes;"Médiathèque ""An Ti Korn""";29450;Sizun;Bretagne;Finistère;Rencontre d'auteur(s) et dédicace;;;Entrée libre
Lectures et musique Boris Vian;Soirée relax en écoutant les textes de Vian, autour d'une tisane ou un verre de vin;;Bibliothèque Châteauneuf-du-Pape;84230;Châteauneuf-du-Pape;Provence-Alpes-Côte d'Azur;Vaucluse;Lecture / Conte;10;99;Sur inscription
Soirée lecture et cinéma;Projection de films et lecture de textes par des acteurs;"théâtre;cinéma;lecture";Bibliothèque universitaire Paris 8;93200;Saint-Denis;Île-de-France;Seine-Saint-Denis;Spectacle (danse, concert, performance, théâtre…);;;Entrée libre
Lecture musicalisée des albums de Sandra Poirot Chérif avec Mélocotòn;Pas de frontières pour les oiseaux / Mélocotòn;"Lecture musicale;Sandra Poirot Chérif";Médiathèque Victor Madelaine Nilvange;57240;Nilvange;Grand Est;Moselle;Autre (précisez dans le champ ci-dessous);5;103;Entrée libre
Casino V.I.P.;Jeux de casino et autres mondanités;;Médiathèque Stéphane Hessel;37270;Montlouis-sur-Loire;Centre-Val de Loire;Indre-et-Loire;Soirée jeux (jeux de société, jeux vidéo, jeux d’évasion/escape game);8;99;Sur inscription
La nuit orange du Pavillon Blanc : spectacle;Plusieurs sessions du concert dans le noir des élèves du Conservatoire et du réveil en musique du groupe Sweetest choice pour les enfants et les grands.;"concert dans le noir;musique";Médiathèque Pavillon Blanc Henri Molina;31770;Colomiers;Occitanie;Haute-Garonne;Spectacle (danse, concert, performance, théâtre…);1;99;Entrée libre
Jeux littéraires;De truculents jeux sur la langue et la parole pour un moment de partage loufoque!;jeu;Médiathèque Faverges-Seythenex;74210;Faverges-Seythenex;Auvergne-Rhône-Alpes;Haute-Savoie;Soirée jeux (jeux de société, jeux vidéo, jeux d’évasion/escape game);7;99;Entrée libre
Autour des pages : jeux en partage;Jeux de société et jeux autours des livres;"jeux;jeux vidéo;livres jeux";Médiathèque communautaire de Beaucamps-le-Vieux;80430;Beaucamps-le-Vieux;Hauts-de-France;Somme;Soirée jeux (jeux de société, jeux vidéo, jeux d’évasion/escape game);;;Entrée libre
Escape game Harry Potter;Escape game Harry Potter;"escape game;Harry Potter;Jeux";Bibliothèque François-Truffaut;76140;Le Petit-Quevilly;Normandie;Seine-Maritime;Soirée jeux (jeux de société, jeux vidéo, jeux d’évasion/escape game);7;99;Sur inscription
Soirée Contes et Pyjamas;En pyjama, avec doudou, plaid et coussin, assistez au spectacle « Les petits rois » et partez pour un long voyage au pays des rêves…;;Médiathèque de Noyen-sur-Sarthe;72430;Noyen-sur-Sarthe;Pays de la Loire;Sarthe;Spectacle (danse, concert, performance, théâtre…);4;99;Entrée libre
"""Eros en bref""";Lady Chatterley et La Folie de Roméo et Juliette, d’après William Shakespeare et D.H. Lawrence. Compagnie La Magouille. Pour toute la famille à partir de 11 ans. Entrée libre;"Shakespeare;D.H. Lawrence;Compagnie La Magouille;Déville lès Rouen;Lady Chatterley;Roméo et Juliette;Médiathèque Anne Frank;Petite forme théâtrale";Médiathèque Anne Frank;76250;Déville-lès-Rouen;Normandie;Seine-Maritime;Spectacle (danse, concert, performance, théâtre…);11;99;Entrée libre
"""Le noir, cette couleur ?""";Oeuvres originales de Bérénice Palier et Hélène Néraud;"Déville lès Rouen;Noir et blanc;artistes plasticiennes;Médiathèque Anne Frank";Médiathèque Anne Frank;76250;Déville-lès-Rouen;Normandie;Seine-Maritime;Exposition;10;99;Entrée libre
Conférence et dédicace;Un des auteurs édités par les Editions Alain Piazzola donnera une conférence sur l'histoire de la Corse.;;Médiathèque de Petreto Bicchisano;20140;Petreto-Bicchisano;Corse;Haute-Corse;Conférence / table-ronde;;;Entrée libre
Escape game: L'école ensorcelée d'Harry Potter;Escape game : l'école ensorcelée d'Harry Potter;Harry Potter magie mauvais sort féerie escape game contes légendes;Médiathèque L'Ellipse;38360;Sassenage;Auvergne-Rhône-Alpes;Isère;Soirée jeux (jeux de société, jeux vidéo, jeux d’évasion/escape game);7;10;Sur inscription
